 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3300_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3300 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1200 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 5.72E+03 7.31E+14 3.43E+01 5.45E+00   16   0  4.03E-06 1.11E+01 2.51E+00
   2 1.06E-01 5.65E+03 7.36E+14 3.45E+01 5.49E+00   16   0  4.24E-06 1.11E+01 2.55E+00
   3 1.13E-01 5.56E+03 7.42E+14 3.48E+01 5.53E+00   16   0  4.51E-06 1.12E+01 2.60E+00
   4 1.21E-01 5.48E+03 7.47E+14 3.50E+01 5.57E+00   16   0  4.73E-06 1.12E+01 2.64E+00
   5 1.29E-01 5.41E+03 7.52E+14 3.53E+01 5.61E+00   16   0  4.97E-06 1.12E+01 2.68E+00
   6 1.37E-01 5.34E+03 7.57E+14 3.55E+01 5.65E+00   16   0  5.22E-06 1.12E+01 2.72E+00
   7 1.46E-01 5.26E+03 7.63E+14 3.58E+01 5.69E+00   16   0  5.48E-06 1.11E+01 2.75E+00
   8 1.55E-01 5.18E+03 7.68E+14 3.60E+01 5.73E+00   16   0  5.75E-06 1.11E+01 2.79E+00
   9 1.65E-01 5.11E+03 7.74E+14 3.63E+01 5.77E+00   16   0  6.03E-06 1.10E+01 2.82E+00
  10 1.76E-01 5.03E+03 7.80E+14 3.66E+01 5.82E+00   16   0  6.33E-06 1.10E+01 2.84E+00
  11 1.87E-01 4.95E+03 7.86E+14 3.69E+01 5.86E+00   16   0  6.63E-06 1.09E+01 2.87E+00
  12 1.99E-01 4.88E+03 7.92E+14 3.71E+01 5.91E+00   15   0  6.95E-06 1.09E+01 2.89E+00
  13 2.12E-01 4.80E+03 7.98E+14 3.74E+01 5.95E+00   15   0  7.28E-06 1.08E+01 2.91E+00
  14 2.26E-01 4.73E+03 8.04E+14 3.77E+01 6.00E+00   15   0  7.63E-06 1.07E+01 2.93E+00
  15 2.41E-01 4.65E+03 8.11E+14 3.80E+01 6.05E+00   15   0  7.98E-06 1.06E+01 2.94E+00
  16 2.56E-01 4.58E+03 8.17E+14 3.83E+01 6.10E+00   15   0  8.35E-06 1.05E+01 2.95E+00
  17 2.73E-01 4.51E+03 8.24E+14 3.86E+01 6.15E+00   15   0  8.74E-06 1.03E+01 2.95E+00
  18 2.91E-01 4.43E+03 8.30E+14 3.90E+01 6.20E+00   15   0  9.13E-06 1.02E+01 2.96E+00
  19 3.10E-01 4.36E+03 8.37E+14 3.93E+01 6.25E+00   15   0  9.54E-06 1.00E+01 2.95E+00
  20 3.30E-01 4.29E+03 8.44E+14 3.96E+01 6.30E+00   15   0  9.96E-06 9.88E+00 2.95E+00
  21 3.51E-01 4.23E+03 8.51E+14 3.99E+01 6.35E+00   15   0  1.04E-05 9.71E+00 2.94E+00
  22 3.74E-01 4.16E+03 8.57E+14 4.02E+01 6.40E+00   15   0  1.08E-05 9.53E+00 2.93E+00
  23 3.98E-01 4.10E+03 8.64E+14 4.05E+01 6.45E+00   14   0  1.13E-05 9.35E+00 2.91E+00
  24 4.24E-01 4.03E+03 8.71E+14 4.08E+01 6.50E+00   14   0  1.18E-05 9.16E+00 2.89E+00
  25 4.51E-01 3.97E+03 8.77E+14 4.12E+01 6.55E+00   14   0  1.23E-05 8.95E+00 2.87E+00
  26 4.80E-01 3.91E+03 8.84E+14 4.15E+01 6.60E+00   14   0  1.28E-05 8.75E+00 2.84E+00
  27 5.11E-01 3.85E+03 8.91E+14 4.18E+01 6.65E+00   14   0  1.33E-05 8.53E+00 2.81E+00
  28 5.45E-01 3.80E+03 8.98E+14 4.21E+01 6.70E+00   14   0  1.38E-05 8.31E+00 2.78E+00
  29 5.80E-01 3.74E+03 9.04E+14 4.24E+01 6.75E+00   14   0  1.44E-05 8.13E+00 2.75E+00
  30 6.17E-01 3.69E+03 9.11E+14 4.27E+01 6.80E+00   14   0  1.50E-05 8.00E+00 2.73E+00
  31 6.57E-01 3.63E+03 9.18E+14 4.30E+01 6.85E+00   14   0  1.57E-05 7.87E+00 2.70E+00
  32 7.00E-01 3.58E+03 9.24E+14 4.34E+01 6.90E+00   14   0  1.64E-05 7.74E+00 2.67E+00
  33 7.45E-01 3.53E+03 9.31E+14 4.37E+01 6.94E+00   14   0  1.71E-05 7.60E+00 2.64E+00
  34 7.94E-01 3.48E+03 9.37E+14 4.40E+01 6.99E+00   14   0  1.79E-05 7.47E+00 2.61E+00
  35 8.45E-01 3.43E+03 9.44E+14 4.43E+01 7.04E+00   13   0  1.86E-05 7.33E+00 2.58E+00
  36 9.00E-01 3.39E+03 9.50E+14 4.46E+01 7.09E+00   13   0  1.95E-05 7.20E+00 2.54E+00
  37 9.58E-01 3.34E+03 9.57E+14 4.49E+01 7.14E+00   13   0  2.03E-05 7.06E+00 2.50E+00
  38 1.02E+00 3.30E+03 9.63E+14 4.52E+01 7.19E+00   13   0  2.12E-05 6.93E+00 2.46E+00
  39 1.09E+00 3.25E+03 9.70E+14 4.55E+01 7.24E+00   13   0  2.21E-05 6.79E+00 2.42E+00
  40 1.16E+00 3.21E+03 9.76E+14 4.58E+01 7.28E+00   13   0  2.31E-05 6.66E+00 2.38E+00
  41 1.23E+00 3.17E+03 9.83E+14 4.61E+01 7.33E+00   13   0  2.41E-05 6.51E+00 2.34E+00
  42 1.31E+00 3.13E+03 9.88E+14 4.64E+01 7.38E+00   13   0  2.48E-05 6.44E+00 2.31E+00
  43 1.40E+00 3.09E+03 9.95E+14 4.67E+01 7.42E+00   13   0  2.59E-05 6.31E+00 2.26E+00
  44 1.49E+00 3.05E+03 1.00E+15 4.70E+01 7.47E+00   13   0  2.70E-05 6.18E+00 2.22E+00
  45 1.58E+00 3.01E+03 1.01E+15 4.73E+01 7.52E+00   13   0  2.82E-05 6.05E+00 2.17E+00
  46 1.69E+00 2.96E+03 1.02E+15 4.77E+01 7.58E+00   13   0  2.95E-05 5.99E+00 2.11E+00
  47 1.80E+00 2.93E+03 1.02E+15 4.80E+01 7.63E+00   12   0  3.08E-05 5.87E+00 2.07E+00
  48 1.91E+00 2.89E+03 1.03E+15 4.83E+01 7.68E+00   12   0  3.21E-05 5.76E+00 2.03E+00
  49 2.04E+00 2.85E+03 1.04E+15 4.86E+01 7.73E+00   12   0  3.35E-05 5.65E+00 1.98E+00
  50 2.17E+00 2.82E+03 1.04E+15 4.89E+01 7.78E+00   12   0  3.50E-05 5.54E+00 1.94E+00
  51 2.31E+00 2.78E+03 1.05E+15 4.92E+01 7.83E+00   12   0  3.65E-05 5.44E+00 1.90E+00
