 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3500_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3500 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1200 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
   1 1.00E-01 5.11E+03 7.73E+14 4.08E+01 5.77E+00   16   0  4.37E-06 1.13E+01 2.78E+00
   2 1.06E-01 5.05E+03 7.78E+14 4.11E+01 5.81E+00   16   0  4.59E-06 1.13E+01 2.83E+00
   3 1.13E-01 4.96E+03 7.85E+14 4.14E+01 5.86E+00   16   0  4.88E-06 1.14E+01 2.88E+00
   4 1.21E-01 4.89E+03 7.91E+14 4.17E+01 5.90E+00   16   0  5.12E-06 1.14E+01 2.92E+00
   5 1.29E-01 4.82E+03 7.96E+14 4.20E+01 5.94E+00   16   0  5.38E-06 1.14E+01 2.96E+00
   6 1.37E-01 4.75E+03 8.02E+14 4.23E+01 5.98E+00   16   0  5.64E-06 1.13E+01 3.00E+00
   7 1.46E-01 4.68E+03 8.08E+14 4.26E+01 6.03E+00   16   0  5.92E-06 1.13E+01 3.04E+00
   8 1.55E-01 4.61E+03 8.14E+14 4.30E+01 6.07E+00   16   0  6.21E-06 1.12E+01 3.07E+00
   9 1.65E-01 4.55E+03 8.20E+14 4.33E+01 6.12E+00   16   0  6.51E-06 1.12E+01 3.10E+00
  10 1.76E-01 4.48E+03 8.27E+14 4.36E+01 6.17E+00   15   0  6.83E-06 1.11E+01 3.13E+00
  11 1.87E-01 4.41E+03 8.33E+14 4.40E+01 6.22E+00   15   0  7.15E-06 1.10E+01 3.15E+00
  12 1.99E-01 4.34E+03 8.40E+14 4.43E+01 6.26E+00   15   0  7.49E-06 1.09E+01 3.17E+00
  13 2.12E-01 4.27E+03 8.46E+14 4.47E+01 6.31E+00   15   0  7.84E-06 1.08E+01 3.19E+00
